"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area","With Bachelor Degree or Higher","After-Tax Household Income","   Unemployed","Recent Immigrants","High Shelter Costs"
"West Humber-Clairville",1.0,"N/A",33312.0,30.09,6170.0,59703.0,1705.0,2440.0,3270.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,4.6,4450.0,46986.0,1785.0,4720.0,3715.0
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,3.4,1690.0,57522.0,525.0,720.0,1065.0
"Rexdale-Kipling",4.0,"N/A",10529.0,2.5,1620.0,51194.0,600.0,625.0,1185.0
"Elms-Old Rexdale",5.0,"N/A",9456.0,2.9,1130.0,49425.0,465.0,530.0,1080.0
"Kingsview Village-The Westway",6.0,"N/A",22000.0,5.1,3720.0,50714.0,1020.0,1830.0,2730.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,5.5,5265.0,57048.0,920.0,1210.0,2645.0
"Humber Heights-Westmount",8.0,"N/A",10948.0,2.8,2340.0,54919.0,380.0,345.0,1325.0
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,5.5,5190.0,62463.0,510.0,515.0,1900.0
"Princess-Rosethorn",10.0,"N/A",11051.0,5.2,4480.0,93391.0,355.0,270.0,750.0
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,8.6,4915.0,69740.0,750.0,350.0,1555.0
"Markland Wood",12.0,"N/A",10554.0,2.9,3525.0,64297.0,335.0,295.0,1060.0
"Etobicoke West Mall",13.0,"N/A",11848.0,1.7,2705.0,50570.0,505.0,815.0,1695.0
"Islington-City Centre West",14.0,"N/A",43965.0,16.4,15135.0,57658.0,1870.0,2850.0,6380.0
"Kingsway South",15.0,"N/A",9271.0,2.6,4440.0,106386.0,360.0,95.0,685.0
"Stonegate-Queensway",16.0,"N/A",25051.0,7.9,8490.0,67549.0,935.0,1005.0,2830.0
"Mimico",17.0,"N/A",33964.0,6.9,11520.0,55300.0,1305.0,1895.0,7080.0
"New Toronto",18.0,"N/A",11463.0,3.5,2790.0,40859.0,565.0,500.0,2105.0
"Long Branch",19.0,"N/A",10084.0,2.3,2585.0,47680.0,440.0,375.0,1700.0
"Alderwood",20.0,"N/A",12054.0,5.0,2290.0,61402.0,415.0,200.0,1005.0
"Humber Summit",21.0,"N/A",12416.0,7.9,1450.0,53272.0,555.0,870.0,1235.0
